;/
/v1/agent/self/actuator/system;/showProperties
;/v1/api-docs
/v1;/api-docs
;/v1/catalog/service/app
/v1;/catalog/service/app
/v1/catalog;/service/app
/v1/catalog/service;/app
;/v1/catalog/services/actuator/threaddump
/v1;/catalog/services/actuator/threaddump
/v1/catalog;/services/actuator/threaddump
/v1/catalog/services;/actuator/threaddump
/v1/catalog/services/actuator;/threaddump
;/v2.0/swagger-ui.html
/v2.0;/swagger-ui.html
;/v2.1/swagger-ui.html
/v2.1;/swagger-ui.html
;/v2.2/swagger-ui.html
/v2.2;/swagger-ui.html
;/v2.3/swagger-ui.html
/v2.3;/swagger-ui.html
;/v2/api-docs
/v2;/api-docs
;/v2/api-docs?group=swagger接口文档
/v2;/api-docs?group=swagger接口文档
;/v2/swagger.json
/v2;/swagger.json
;/v3/api-docs
/v3;/api-docs
;/validata/code
/validata;/code
;/webjars/**/actuator/nacosconfig
/webjars;/**/actuator/nacosconfig
/webjars/**;/actuator/nacosconfig
/webjars/**/actuator;/nacosconfig
;/webpage/system/druid/index.html
/webpage;/system/druid/index.html
/webpage/system;/druid/index.html
/webpage/system/druid;/index.html
;/api/index.html
/api;/index.html
;/api/v2/api-docs
/api;/v2/api-docs
/api/v2;/api-docs
;/api/env
/api;/env
;/api/dump
/api;/dump
;/api/heapdump
/api;/heapdump
;/api/api-docs
/api;/api-docs
;/api/threaddump
/api;/threaddump
;/api/swagger-ui.html
/api;/swagger-ui.html
;/api/actuator/env
/api;/actuator/env
/api/actuator;/env
;/api/actuator/dump
/api;/actuator/dump
/api/actuator;/dump
;/api/actuator/heapdump
/api;/actuator/heapdump
/api/actuator;/heapdump
;/api/actuator/threaddump
/api;/actuator/threaddump
/api/actuator;/threaddump
;/api/actuator/swagger-ui.html
/api;/actuator/swagger-ui.html
/api/actuator;/swagger-ui.html
;/actuator/swagger-ui.html
/actuator;/swagger-ui.html
;/env/(name)
/env;/(name)
